"","Plot","Position.point","Sample","DBH.Total","Canopy.area","d15N","d13C","N..percent","Total.N..mmol.gdw","C..percent","Total.C..mmol.gdw","C.N","Type","x.matrix","y.matrix","x.meter","y.meter","z"
"77","AK","T-A7","Soil",NA,NA,6.09,-23.18,1.53,1.09,22.53,18.77,14.72,"corner",1,0,5,0,NA
"78","AK","T-A8","Soil",NA,NA,7.08,-24.09,1.36,0.97,21.49,17.9,15.76,"corner",0,0,0,0,NA
"79","AK","T-B1","Soil",NA,NA,5.34,-24.08,1.03,0.74,20.22,16.85,19.65,"corner",7,1,35,4,NA
"80","AK","T-B2","Soil",NA,NA,7.19,-22.33,1.03,0.74,12.63,10.53,12.24,"corner",6,1,30,4,NA
"81","AK","T-B3","Soil",NA,NA,5.81,-23.94,1.26,0.9,18.68,15.57,14.89,"corner",5,1,25,4,NA
"82","AK","T-B4","Soil",NA,NA,6.17,-24.21,1.88,1.34,27.9,23.25,14.82,"corner",4,1,20,4,NA
"83","AK","T-B5","Soil",NA,NA,4.53,-25.13,1.39,0.99,20.81,17.34,14.98,"corner",3,1,15,4,NA
"84","AK","T-B6","Soil",NA,NA,4.9,-24.3,1.98,1.42,27.76,23.13,13.99,"corner",2,1,10,4,NA
"85","AK","T-B7","Soil",NA,NA,6.05,-24.88,2.13,1.52,31.58,26.32,14.84,"corner",1,1,5,4,NA
"86","AK","T-B8","Soil",NA,NA,6.39,-24.03,1.42,1.02,23.44,19.53,16.49,"corner",0,1,0,4,NA
"87","AK","T-C1","Soil",NA,NA,5.06,-25.87,1.93,1.38,29.58,24.65,15.29,"corner",7,2,35,8,NA
"88","AK","T-C2","Soil",NA,NA,5.68,-24.18,1.43,1.02,22.33,18.61,15.63,"corner",6,2,30,8,NA
"89","AK","T-C3","Soil",NA,NA,6.9,-25.79,1.1,0.79,21.79,18.16,19.81,"corner",5,2,25,8,NA
"90","AK","T-C4","Soil",NA,NA,6.12,-24.34,1.3,0.93,20.94,17.45,16.14,"corner",4,2,20,8,NA
"91","AK","T-C5","Soil",NA,NA,4.85,-24.84,1.77,1.26,25.53,21.28,14.46,"corner",3,2,15,8,NA
"92","AK","T-C6","Soil",NA,NA,8.02,-23.6,1.47,1.05,20.17,16.81,13.76,"corner",2,2,10,8,NA
"93","AK","T-C7","Soil",NA,NA,5.69,-25.15,1.52,1.08,23.28,19.4,15.33,"corner",1,2,5,8,NA
"94","AK","T-C8","Soil",NA,NA,6.7,-24.55,1.68,1.2,28.1,23.42,16.69,"corner",0,2,0,8,NA
"95","AK","T-D1","Soil",NA,NA,7.34,-25.49,1.53,1.09,24.08,20.07,15.71,"corner",7,3,35,12,NA
"96","AK","T-D2","Soil",NA,NA,5.04,-25.72,1.71,1.22,25.95,21.62,15.17,"corner",6,3,30,12,NA
"97","AK","T-D3","Soil",NA,NA,3.99,-26.44,2.2,1.57,31.42,26.18,14.27,"corner",5,3,25,12,NA
"98","AK","T-D4","Soil",NA,NA,5.67,-24.13,1.63,1.17,23.75,19.79,14.54,"corner",4,3,20,12,NA
"99","AK","T-D5","Soil",NA,NA,2.8,-27,2.42,1.73,36.53,30.44,15.11,"corner",3,3,15,12,NA
"100","AK","T-D6","Soil",NA,NA,4,-26.05,1.24,0.89,20.37,16.98,16.37,"corner",2,3,10,12,NA
"101","AK","T-D7","Soil",NA,NA,5.53,-24.06,1.1,0.78,18.32,15.26,16.72,"corner",1,3,5,12,NA
"102","AK","T-D8","Soil",NA,NA,6.76,-25.52,1.89,1.35,29.93,24.94,15.81,"corner",0,3,0,12,NA
"103","AK","T-E1","Soil",NA,NA,7.12,-23.92,1.8,1.29,25.25,21.04,14.03,"corner",7,4,35,16,NA
"104","AK","T-E2","Soil",NA,NA,5.56,-25.58,2.09,1.5,29.32,24.43,14.01,"corner",6,4,30,16,NA
"105","AK","T-E3","Soil",NA,NA,6.19,-24.71,1.4,1,22.18,18.48,15.85,"corner",5,4,25,16,NA
"106","AK","T-E4","Soil",NA,NA,5.6,-25.01,2.12,1.52,28.77,23.97,13.54,"corner",4,4,20,16,NA
"107","AK","T-E5","Soil",NA,NA,6.96,-24.12,1.31,0.93,20.87,17.39,15.97,"corner",3,4,15,16,NA
"108","AK","T-E6","Soil",NA,NA,6.42,-24.23,1.32,0.94,21.32,17.77,16.19,"corner",2,4,10,16,NA
"109","AK","T-E7","Soil",NA,NA,5.76,-24.27,1.06,0.76,17.77,14.81,16.8,"corner",1,4,5,16,NA
"110","AK","T-E8","Soil",NA,NA,5.57,-24.3,1.38,0.98,21.77,18.14,15.8,"corner",0,4,0,16,NA
"111","RK","T-F1","Soil",NA,NA,6.01,-25.91,1.2,0.85,21.52,17.94,17.99,"corner",4,7,16,35,NA
"112","RK","T-F2","Soil",NA,NA,6.59,-26.11,1.81,1.29,28.25,23.55,15.63,"corner",4,6,16,30,NA
